id,german,english,german_sentence,english_sentence
1,wie,as,Ich benutze oft das Wort 'wie' im Alltag.,I often use the word 'wie' in daily life.
2,ich,I,Mit 'ich' kann man viele Sätze bilden.,With 'ich' you can form many sentences.
3,seine,his,"Gestern habe ich ein Buch gelesen, in dem oft 'seine' stand.",Yesterday I read a book in which often 'seine' appeared.
4,dass,that,"Kannst du mir bitte erklären, was 'dass' bedeutet?",Can you please explain to me what 'dass' means?
5,er,he,"Gestern habe ich ein Buch gelesen, in dem oft 'er' stand.",Yesterday I read a book in which often 'er' appeared.
6,war,was,Ich benutze oft das Wort 'war' im Alltag.,I often use the word 'war' in daily life.
7,für,for,Ich benutze oft das Wort 'für' im Alltag.,I often use the word 'für' in daily life.
8,auf,on,"Gestern habe ich ein Buch gelesen, in dem oft 'auf' stand.",Yesterday I read a book in which often 'auf' appeared.
9,sind,are,Mit 'sind' kann man viele Sätze bilden.,With 'sind' you can form many sentences.
10,mit,with,Ich benutze oft das Wort 'mit' im Alltag.,I often use the word 'mit' in daily life.
11,sie,they,"Kannst du mir bitte erklären, was 'sie' bedeutet?",Can you please explain to me what 'sie' means?
12,sein,be,Mit 'sein' kann man viele Sätze bilden.,With 'sein' you can form many sentences.
13,bei,at,Mit 'bei' kann man viele Sätze bilden.,With 'bei' you can form many sentences.
14,ein,one,"Gestern habe ich ein Buch gelesen, in dem oft 'ein' stand.",Yesterday I read a book in which often 'ein' appeared.
15,haben,have,"Kannst du mir bitte erklären, was 'haben' bedeutet?",Can you please explain to me what 'haben' means?
16,dies,this,'dies' ist ein wichtiges Wort in der deutschen Sprache.,'dies' is an important word in the German language.
17,aus,from,"Kannst du mir bitte erklären, was 'aus' bedeutet?",Can you please explain to me what 'aus' means?
18,durch,by,Mit 'durch' kann man viele Sätze bilden.,With 'durch' you can form many sentences.
19,heiß,hot,"Gestern habe ich ein Buch gelesen, in dem oft 'heiß' stand.",Yesterday I read a book in which often 'heiß' appeared.
20,Wort,word,"Gestern habe ich ein Buch gelesen, in dem oft 'Wort' stand.",Yesterday I read a book in which often 'Wort' appeared.
21,aber,but,"Gestern habe ich ein Buch gelesen, in dem oft 'aber' stand.",Yesterday I read a book in which often 'aber' appeared.
